Location,Price,Type of House,Land Area,Bedrooms
"Phường 10, Quận 6",12700000000,Nhà mặt tiền,72.0,5.0
"Phường 12, Quận 6",5750000000,"Nhà hẻm, ngõ",64.0,4.0
"Phường 10, Quận Phú Nhuận",9950000000,"Nhà hẻm, ngõ",75.0,3.0
"Phường 10, Quận Phú Nhuận",8390000000,"Nhà hẻm, ngõ",40.0,3.0
"Phường Bình Trị Đông A, Quận Bình Tân",3890000000,"Nhà hẻm, ngõ",48.0,2.0
"Phường Thảo Điền, TP. Thủ Đức - Quận 2",26500000000,"Nhà hẻm, ngõ",117.0,5.0
"Phường 8, Quận Phú Nhuận",21000000000,Nhà mặt tiền,38.0,6.0
"Phường 13, Quận Bình Thạnh",4250000000,"Nhà hẻm, ngõ",36.0,5.0
"Phường 12, Quận Tân Bình",59000000000,Nhà mặt tiền,170.0,2.0
"Phường 13, Quận 10",30000000000,Nhà mặt tiền,61.0,18.299999999999997
"Phường An Lạc A, Quận Bình Tân",25000000000,Nhà mặt tiền,168.0,16.8
"Phường 15, Quận Tân Bình",4750000000,"Nhà hẻm, ngõ",35.0,3.0
"Phường 13, Quận Tân Bình",75000000000,Nhà mặt tiền,260.0,8.0
"Phường Nguyễn Cư Trinh, Quận 1",24000000000,"Nhà hẻm, ngõ",100.0,6.0
"Phường 14, Quận 10",26000000000,Nhà mặt tiền,120.0,24.0
"Phường 10, Quận Phú Nhuận",9950000000,"Nhà hẻm, ngõ",75.0,3.0
"Phường 8, Quận Phú Nhuận",2260000000,Nhà mặt tiền,14.0,1.0
"Phường Phú Thạnh, Quận Tân Phú",28000000000,Nhà mặt tiền,256.0,0.0
"Phường 10, Quận Tân Bình",8500000000,"Nhà hẻm, ngõ",60.0,4.0
"Phường Tân Quy, Quận 7",4600000000,"Nhà hẻm, ngõ",40.0,5.0
"Phường 12, Quận Gò Vấp",6500000000,"Nhà hẻm, ngõ",56.0,5.0
"Xã Phú Xuân, Huyện Nhà Bè",1150000000,"Nhà hẻm, ngõ",22.0,3.0
"Phường 13, Quận Tân Bình",23500000000,Nhà mặt tiền,125.0,10.0
"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức",6400000000,Nhà mặt tiền,68.0,2.0
"Phường 5, Quận 10",8500000000,"Nhà hẻm, ngõ",50.0,2.0
"Phường Thảo Điền, TP. Thủ Đức - Quận 2",28000000000,Nhà mặt tiền,77.0,4.0
"Phường 14, Quận Bình Thạnh",4750000000,"Nhà hẻm, ngõ",29.0,3.0
"Phường 9, Quận 8",2550000000,"Nhà hẻm, ngõ",69.0,1.0
"Thị Trấn Nhà Bè, Huyện Nhà Bè",1790000000,"Nhà hẻm, ngõ",25.0,4.0
"Phường Tăng Nhơn Phú B, TP. Thủ Đức - Quận 9",6000000000,"Nhà hẻm, ngõ",80.0,4.0
"Phường 6, Quận 10",5500000000,"Nhà hẻm, ngõ",35.0,4.0
"Phường 7, Quận 5",9800000000,"Nhà hẻm, ngõ",44.0,6.6000000000000005
"Phường 5, Quận Bình Thạnh",1750000000,"Nhà hẻm, ngõ",53.0,3.0
"Phường 7, Quận Bình Thạnh",45000000000,Nhà mặt tiền,140.0,28.0
"Xã Phước Vĩnh An, Huyện Củ Chi",8000000000,Nhà mặt tiền,321.0,3.0
"Phường 12, Quận 10",29500000000,Nhà mặt tiền,80.0,12.0
"Thị Trấn Nhà Bè, Huyện Nhà Bè",1900000000,"Nhà hẻm, ngõ",19.0,2.0
"Phường 12, Quận Bình Thạnh",11500000000,"Biệt thự, Villa",120.0,4.0
"Phường 2, Quận Phú Nhuận",23000000000,Nhà mặt tiền,64.0,5.0
"Thị Trấn Nhà Bè, Huyện Nhà Bè",1900000000,"Nhà hẻm, ngõ",19.0,2.0
"Phường Tây Thạnh, Quận Tân Phú",6000000000,"Nhà hẻm, ngõ",53.0,5.0
"Phường 9, Quận Tân Bình",5800000000,"Nhà hẻm, ngõ",41.0,4.0
"Phường 13, Quận Bình Thạnh",21000000000,Nhà mặt tiền,109.0,3.0
"Phường Phú Thọ Hòa, Quận Tân Phú",32000000000,Nhà mặt tiền,168.0,33.6
"Phường 19, Quận Bình Thạnh",22500000000,Nhà mặt tiền,56.0,5.0
"Phường Tân Sơn Nhì, Quận Tân Phú",75000000000,Nhà mặt tiền,305.0,2.0
"Thị Trấn Nhà Bè, Huyện Nhà Bè",2150000000,"Nhà hẻm, ngõ",28.0,3.0
"Phường 2, Quận 5",8000000000,"Nhà hẻm, ngõ",62.0,3.0
"Phường Đa Kao, Quận 1",15099000000,"Nhà hẻm, ngõ",118.0,5.0
"Thị Trấn Nhà Bè, Huyện Nhà Bè",1900000000,"Nhà hẻm, ngõ",19.0,2.0
"Phường 2, Quận Phú Nhuận",5300000000,Nhà mặt tiền,58.0,4.0
"Xã Phước Kiển, Huyện Nhà Bè",1360000000,"Nhà hẻm, ngõ",22.0,2.0
"Phường Bình Trị Đông B, Quận Bình Tân",7000000000,"Nhà hẻm, ngõ",67.0,6.7
"Phường Thạnh Lộc, Quận 12",1850000000,"Nhà hẻm, ngõ",48.0,3.0
"Thị Trấn Nhà Bè, Huyện Nhà Bè",1900000000,"Nhà hẻm, ngõ",24.0,2.0
"Phường An Lạc, Quận Bình Tân",7700000000,"Nhà hẻm, ngõ",84.0,21.0
"Phường 5, Quận Gò Vấp",13500000000,"Nhà hẻm, ngõ",135.0,0.0
"Phường Tân Chánh Hiệp, Quận 12",1790000000,"Nhà hẻm, ngõ",25.0,2.0
"Phường Sơn Kỳ, Quận Tân Phú",6000000000,"Nhà hẻm, ngõ",55.0,3.0
"Phường Tân Thới Hòa, Quận Tân Phú",16500000000,Nhà mặt tiền,87.0,4.0
"Thị Trấn Nhà Bè, Huyện Nhà Bè",1900000000,"Nhà hẻm, ngõ",21.0,4.0
"Phường Tân Sơn Nhì, Quận Tân Phú",5500000000,"Nhà hẻm, ngõ",56.0,2.0
"Thị Trấn Nhà Bè, Huyện Nhà Bè",4600000000,"Nhà hẻm, ngõ",48.0,4.0
"Phường Cô Giang, Quận 1",3500000000,"Nhà hẻm, ngõ",25.0,2.0
"Phường Phú Thuận, Quận 7",13500000000,Nhà mặt tiền,157.0,14.0
"Phường 16, Quận 8",7000000000,Nhà mặt tiền,52.0,5.0
"Thị Trấn Nhà Bè, Huyện Nhà Bè",3150000000,"Nhà hẻm, ngõ",36.0,4.0
"Phường 7, Quận Phú Nhuận",8600000000,"Nhà hẻm, ngõ",68.0,4.0
"Phường 4, Quận Phú Nhuận",1000000000,"Nhà hẻm, ngõ",53.0,3.0
"Phường 5, Quận Bình Thạnh",57000000000,Nhà mặt tiền,296.0,5.0
"Phường 4, Quận 3",29000000000,Nhà mặt tiền,70.0,6.0
"Thị Trấn Nhà Bè, Huyện Nhà Bè",3600000000,"Nhà hẻm, ngõ",60.0,2.0
"Phường 7, Quận 8",11150000000,"Nhà hẻm, ngõ",104.0,3.0
"Phường 7, Quận Gò Vấp",4350000000,"Nhà hẻm, ngõ",32.0,2.0
"Phường Tân Thuận Tây, Quận 7",5300000000,"Nhà hẻm, ngõ",40.0,3.0
"Phường Tân Sơn Nhì, Quận Tân Phú",17500000000,Nhà mặt tiền,92.0,4.0
"Phường Bình Hưng Hòa A, Quận Bình Tân",3990000000,"Nhà hẻm, ngõ",48.0,2.0
"Phường Hiệp Tân, Quận Tân Phú",17500000000,Nhà mặt tiền,96.0,14.399999999999999
"Phường 2, Quận 8",14500000000,Nhà mặt tiền,210.0,4.0
"Thị Trấn Nhà Bè, Huyện Nhà Bè",2280000000,Nhà mặt tiền,24.0,4.0
"Xã Bình Hưng, Huyện Bình Chánh",30000000000,Nhà mặt tiền,200.0,6.0
"Phường 11, Quận 10",24000000000,"Nhà hẻm, ngõ",78.0,5.0
"Phường 2, Quận 3",30000000000,Nhà mặt tiền,44.0,5.0
"Thị Trấn Nhà Bè, Huyện Nhà Bè",6500000000,"Nhà hẻm, ngõ",80.0,4.0
"Phường Phú Thọ Hòa, Quận Tân Phú",8500000000,"Nhà hẻm, ngõ",68.0,6.8
"Phường Phạm Ngũ Lão, Quận 1",17000000000,"Nhà hẻm, ngõ",58.0,2.9
"Phường Bình Trị Đông, Quận Bình Tân",42000000000,Nhà mặt tiền,400.0,40.0
"Phường 11, Quận Gò Vấp",9900000000,Nhà mặt tiền,300.0,5.0
"Phường 8, Quận 10",13000000000,"Nhà hẻm, ngõ",60.0,6.0
"Thị Trấn Nhà Bè, Huyện Nhà Bè",1900000000,"Nhà hẻm, ngõ",20.0,4.0
"Phường 12, Quận Gò Vấp",10900000000,"Nhà hẻm, ngõ",72.0,4.0
"Phường 12, Quận Tân Bình",23500000000,Nhà mặt tiền,84.0,21.0
"Phường 14, Quận Tân Bình",2090000000,"Nhà hẻm, ngõ",27.0,1.0
"Phường 14, Quận Tân Bình",11900000000,Nhà mặt tiền,56.0,5.0
"Phường 3, Quận Gò Vấp",3590000000,"Nhà hẻm, ngõ",26.0,2.0
"Phường 10, Quận Tân Bình",6950000000,"Nhà hẻm, ngõ",95.0,4.0
"Phường 10, Quận Tân Bình",6000000000,"Nhà hẻm, ngõ",52.0,4.0
"Phường 1, Quận Bình Thạnh",4800000000,"Nhà hẻm, ngõ",47.0,2.0
"Phường Thạnh Lộc, Quận 12",1790000000,"Nhà hẻm, ngõ",47.0,3.0
"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức",2350000000,"Nhà hẻm, ngõ",68.0,4.0
"Phường Thạnh Xuân, Quận 12",1790000000,"Nhà hẻm, ngõ",57.0,4.0
"Phường 15, Quận Phú Nhuận",9950000000,"Nhà hẻm, ngõ",60.0,4.0
"Phường An Lạc, Quận Bình Tân",5570000000,Nhà mặt tiền,52.0,5.0
"Phường Tân Quý, Quận Tân Phú",6500000000,"Nhà hẻm, ngõ",93.0,4.0
"Phường 2, Quận Tân Bình",14000000000,Nhà mặt tiền,43.0,5.0
"Phường 7, Quận Gò Vấp",18500000000,"Biệt thự, Villa",112.0,4.0
"Phường 6, Quận Bình Thạnh",6200000000,Nhà mặt tiền,37.0,3.0
"Phường 16, Quận Gò Vấp",2200000000,"Nhà hẻm, ngõ",53.0,4.0
"Phường Tây Thạnh, Quận Tân Phú",8500000000,"Nhà hẻm, ngõ",68.0,5.0
"Phường 10, Quận Tân Bình",24000000000,"Biệt thự, Villa",180.0,3.0
"Xã Bình Chánh, Huyện Bình Chánh",890000000,"Nhà hẻm, ngõ",125.0,3.0
"Phường Hiệp Tân, Quận Tân Phú",18000000000,"Nhà hẻm, ngõ",159.0,33.0
"Phường 15, Quận 11",15500000000,Nhà mặt tiền,60.0,5.0
"Phường 1, Quận Gò Vấp",14500000000,Nhà mặt tiền,82.0,5.0
"Phường 4, Quận Tân Bình",17000000000,"Nhà hẻm, ngõ",68.0,5.0
"Phường 7, Quận Phú Nhuận",1850000000,"Nhà hẻm, ngõ",28.0,4.0
"Phường Bến Thành, Quận 1",36000000000,Nhà mặt tiền,67.0,3.35
"Phường 4, Quận Gò Vấp",2200000000,"Nhà hẻm, ngõ",35.0,4.0
"Phường 10, Quận Tân Bình",3880000000,"Nhà hẻm, ngõ",24.0,2.0
"Phường Tân Định, Quận 1",4500000000,"Nhà hẻm, ngõ",25.0,2.0
"Phường Bình Trị Đông, Quận Bình Tân",6300000000,"Nhà hẻm, ngõ",70.0,3.0
"Phường 14, Quận Tân Bình",3990000000,"Nhà hẻm, ngõ",28.0,2.0
"Phường 14, Quận 10",12000000000,"Nhà hẻm, ngõ",64.0,6.4
"Phường 10, Quận Tân Bình",2750000000,"Nhà hẻm, ngõ",60.0,4.0
"Phường 8, Quận Phú Nhuận",12500000000,"Nhà hẻm, ngõ",138.0,8.0
"Phường 17, Quận Gò Vấp",4660000000,"Nhà hẻm, ngõ",75.0,0.0
"Phường 9, Quận Tân Bình",6100000000,"Nhà hẻm, ngõ",40.0,1.0
"Phường 5, Quận Gò Vấp",7350000000,"Nhà hẻm, ngõ",60.0,3.0
"Phường 13, Quận 10",4900000000,Nhà mặt tiền,20.0,3.0
"Phường 12, Quận Phú Nhuận",14500000000,"Nhà hẻm, ngõ",55.0,4.0
"Phường Tân Phong, Quận 7",9500000000,Nhà mặt tiền,90.0,5.0
"Phường 7, Quận 10",7500000000,"Nhà hẻm, ngõ",31.0,3.0
"Phường 12, Quận Tân Bình",37000000000,"Nhà hẻm, ngõ",160.0,24.0
"Phường 2, Quận Bình Thạnh",1990000000,"Nhà hẻm, ngõ",39.0,2.0
"Phường 2, Quận Tân Bình",14200000000,Nhà mặt tiền,100.0,2.0
"Phường 3, Quận Gò Vấp",2200000000,"Nhà hẻm, ngõ",52.0,4.0
"Phường 7 (Phường Võ Thị Sáu), Quận 3",2000000000,"Nhà hẻm, ngõ",40.0,4.0
"Phường 14, Quận Tân Bình",29800000000,Nhà mặt tiền,155.0,32.0
"Phường 9, Quận 3",13500000000,"Nhà hẻm, ngõ",74.0,5.0
"Phường 15, Quận Phú Nhuận",16500000000,"Nhà hẻm, ngõ",76.0,14.0
"Phường Đông Hưng Thuận, Quận 12",3500000000,"Nhà hẻm, ngõ",55.0,1.0
"Phường Nguyễn Thái Bình, Quận 1",55000000000,Nhà mặt tiền,80.0,6.0
"Phường 9, Quận Phú Nhuận",2150000000,"Nhà hẻm, ngõ",69.0,4.0
"Phường Sơn Kỳ, Quận Tân Phú",7500000000,Nhà mặt tiền,64.0,4.0
"Phường Phú Thạnh, Quận Tân Phú",8500000000,Nhà mặt tiền,68.0,2.0
"Phường Tân Phong, Quận 7",6500000000,Nhà mặt tiền,200.0,5.0
"Phường 26, Quận Bình Thạnh",19000000000,"Nhà hẻm, ngõ",125.0,6.0
"Phường 10, Quận 3",11500000000,"Nhà hẻm, ngõ",72.0,3.0
"Phường 12, Quận Gò Vấp",8500000000,"Nhà hẻm, ngõ",66.0,4.0
"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức",2350000000,"Nhà hẻm, ngõ",68.0,4.0
"Phường 12, Quận Tân Bình",11500000000,"Nhà hẻm, ngõ",75.0,3.0
"Phường 4, Quận Tân Bình",18900000000,Nhà mặt tiền,70.0,5.0
"Phường Tân Sơn Nhì, Quận Tân Phú",8500000000,"Nhà hẻm, ngõ",60.0,3.0
"Phường Tân Quý, Quận Tân Phú",6000000000,"Nhà hẻm, ngõ",80.0,4.0
"Phường 15, Quận Gò Vấp",6950000000,"Nhà hẻm, ngõ",100.0,10.0
"Phường 13, Quận Tân Bình",2300000000,"Nhà hẻm, ngõ",45.0,3.0
"Phường 13, Quận Tân Bình",40000000000,Nhà mặt tiền,211.0,20.0
"Xã Phước Hiệp, Huyện Củ Chi",1690000000,Nhà mặt tiền,251.0,2.0
"Phường 12, Quận Tân Bình",8500000000,"Nhà hẻm, ngõ",48.0,3.0
"Phường 4, Quận 4",12500000000,Nhà mặt tiền,45.0,4.0
"Phường 13, Quận Tân Bình",8900000000,Nhà mặt tiền,57.0,4.0
"Phường 14, Quận Gò Vấp",7350000000,"Nhà hẻm, ngõ",60.0,4.0
"Xã Nhơn Đức, Huyện Nhà Bè",1360000000,"Nhà hẻm, ngõ",25.0,3.0
"Xã Lê Minh Xuân, Huyện Bình Chánh",19000000000,Nhà mặt tiền,600.0,4.0
"Phường 12, Quận Tân Bình",8900000000,Nhà mặt tiền,57.0,4.0
"Phường Tây Thạnh, Quận Tân Phú",1450000000,"Nhà hẻm, ngõ",25.0,2.0
"Phường 14, Quận 11",14600000000,"Nhà hẻm, ngõ",95.0,9.5
"Phường 15, Quận Tân Bình",6990000000,"Nhà hẻm, ngõ",81.0,2.0
"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức",3450000000,"Nhà hẻm, ngõ",68.0,4.0
"Phường 5, Quận Tân Bình",2850000000,"Nhà hẻm, ngõ",48.0,4.0
"Phường Hiệp Thành, Quận 12",5300000000,Nhà mặt tiền,100.0,2.0
"Phường Tân Thới Hòa, Quận Tân Phú",7250000000,"Nhà hẻm, ngõ",80.0,10.0
"Phường 8, Quận Tân Bình",7100000000,Nhà mặt tiền,45.0,7.0
"Phường Bình Hưng Hòa, Quận Bình Tân",3000000000,"Nhà hẻm, ngõ",42.0,3.0
"Phường Tân Sơn Nhì, Quận Tân Phú",5500000000,"Nhà hẻm, ngõ",40.0,2.0
"Phường 2, Quận Tân Bình",11900000000,Nhà mặt tiền,50.0,4.0
"Phường 3, Quận 8",2380000000,"Nhà hẻm, ngõ",37.0,3.0
"Phường Phú Thạnh, Quận Tân Phú",17500000000,Nhà mặt tiền,145.0,0.0
"Phường 3, Quận 3",3650000000,"Nhà hẻm, ngõ",76.0,3.0
"Phường 13, Quận 3",43500000000,"Nhà hẻm, ngõ",202.0,6.0
"Phường 6, Quận Bình Thạnh",4250000000,"Nhà hẻm, ngõ",25.0,2.0
"Phường An Phú, TP. Thủ Đức - Quận 2",17500000000,Nhà mặt tiền,80.0,5.0
"Phường Hiệp Tân, Quận Tân Phú",28000000000,Nhà mặt tiền,150.0,3.0
"Phường 21, Quận Bình Thạnh",17000000000,"Nhà hẻm, ngõ",96.0,12.0
"Phường 4, Quận 3",38000000000,Nhà mặt tiền,72.0,6.0
"Phường Tân Kiểng, Quận 7",29500000000,Nhà mặt tiền,108.0,20.0
"Phường Tân Định, Quận 1",8500000000,"Nhà hẻm, ngõ",54.0,4.0
"Phường 4, Quận 11",7100000000,"Nhà hẻm, ngõ",80.0,5.0
"Phường 14, Quận 10",22500000000,Nhà mặt tiền,80.0,4.0
"Phường 4, Quận Gò Vấp",2200000000,"Nhà hẻm, ngõ",48.0,4.0
"Phường 8, Quận Gò Vấp",6950000000,"Nhà hẻm, ngõ",60.0,4.0
"Phường 4, Quận 3",43000000000,Nhà mặt tiền,152.0,3.0
"Phường Bến Thành, Quận 1",35500000000,Nhà mặt tiền,6.0,0.8999999999999999
"Phường Phú Trung, Quận Tân Phú",5500000000,"Nhà hẻm, ngõ",65.0,3.0
"Phường 10, Quận Gò Vấp",4350000000,"Nhà hẻm, ngõ",36.0,3.0
"Phường Tân Thành, Quận Tân Phú",13900000000,Nhà mặt tiền,100.0,2.0
"Phường 25, Quận Bình Thạnh",5500000000,"Nhà hẻm, ngõ",40.0,2.0
"Phường Thảo Điền, TP. Thủ Đức - Quận 2",3650000000,"Nhà hẻm, ngõ",60.0,4.0
"Phường An Phú, TP. Thủ Đức - Quận 2",43000000000,Nhà mặt tiền,200.0,30.0
"Phường 13, Quận Bình Thạnh",18000000000,"Nhà hẻm, ngõ",170.0,2.0
"Phường Bến Thành, Quận 1",200000000000,Nhà mặt tiền,176.0,35.2
"Phường 15, Quận 10",4650000000,"Nhà hẻm, ngõ",30.0,5.0
"Phường Phú Thuận, Quận 7",1490000000,"Nhà hẻm, ngõ",58.0,2.0
"Xã Bà Điểm, Huyện Hóc Môn",7500000000,Nhà mặt tiền,125.0,5.0
"Phường Phú Trung, Quận Tân Phú",5500000000,"Nhà hẻm, ngõ",60.0,4.0
"Phường 10, Quận Gò Vấp",5800000000,"Nhà hẻm, ngõ",36.0,4.0
"Phường Hiệp Thành, Quận 12",4200000000,"Nhà hẻm, ngõ",91.0,3.0
"Phường Tân Quý, Quận Tân Phú",8000000000,"Nhà hẻm, ngõ",64.0,4.0
"Phường Phú Trung, Quận Tân Phú",5000000000,"Nhà hẻm, ngõ",57.0,2.0
"Xã Phú Xuân, Huyện Nhà Bè",9200000000,"Nhà hẻm, ngõ",157.0,4.0
"Phường 13, Quận Tân Bình",9600000000,"Nhà hẻm, ngõ",50.0,5.0
"Phường 11, Quận Phú Nhuận",13500000000,"Nhà hẻm, ngõ",90.0,4.0
"Phường Tây Thạnh, Quận Tân Phú",1840000000,"Nhà hẻm, ngõ",25.0,2.0
"Phường Bình Hưng Hòa A, Quận Bình Tân",3000000000,"Nhà hẻm, ngõ",70.0,2.0
"Phường 6, Quận 4",5500000000,"Nhà hẻm, ngõ",92.0,2.0
"Phường 6, Quận 5",11000000000,"Nhà hẻm, ngõ",76.0,0.0
"Phường Thới An, Quận 12",1790000000,"Nhà hẻm, ngõ",46.0,4.0
"Phường Phú Thọ Hòa, Quận Tân Phú",1550000000,"Nhà hẻm, ngõ",44.0,3.0
"Phường 14, Quận Tân Bình",6990000000,"Nhà hẻm, ngõ",39.0,4.0
"Phường Hòa Thạnh, Quận Tân Phú",790000000,"Nhà hẻm, ngõ",15.0,0.75
"Phường 4, Quận Tân Bình",11800000000,"Nhà hẻm, ngõ",72.0,2.0
"Phường 12, Quận Tân Bình",38000000000,Nhà mặt tiền,170.0,22.0
"Phường Tân Hưng, Quận 7",55000000000,"Biệt thự, Villa",200.0,5.0
"Xã Tân An Hội, Huyện Củ Chi",600000000,Nhà mặt tiền,135.0,2.0
"Phường 17, Quận Gò Vấp",2200000000,"Nhà hẻm, ngõ",46.0,4.0
"Phường 2, Quận Tân Bình",3990000000,"Nhà hẻm, ngõ",54.0,4.0
"Phường 17, Quận Gò Vấp",11000000000,Nhà mặt tiền,135.0,21.0
"Phường 3, Quận Gò Vấp",2200000000,"Nhà hẻm, ngõ",52.0,4.0
"Phường 3, Quận 3",3050000000,"Nhà hẻm, ngõ",60.0,6.0
"Phường Tân Sơn Nhì, Quận Tân Phú",3390000000,"Nhà hẻm, ngõ",72.0,4.0
"Xã Tân Hiệp, Huyện Hóc Môn",700000000,"Nhà hẻm, ngõ",110.0,2.0
"Phường 4, Quận Gò Vấp",2200000000,"Nhà hẻm, ngõ",48.0,4.0
"Phường 1, Quận 5",12300000000,Nhà mặt tiền,36.0,4.0
"Phường An Phú, TP. Thủ Đức - Quận 2",24000000000,Nhà mặt tiền,100.0,7.0
"Phường Bình Trị Đông A, Quận Bình Tân",3180000000,"Nhà hẻm, ngõ",26.0,1.0
"Xã Vĩnh Lộc A, Huyện Bình Chánh",1390000000,"Nhà hẻm, ngõ",84.0,1.0
"Phường Long Bình, TP. Thủ Đức - Quận 9",6050000000,"Nhà hẻm, ngõ",300.0,2.0
"Phường 7, Quận Phú Nhuận",3800000000,"Nhà hẻm, ngõ",44.0,2.0
"Phường 7, Quận Phú Nhuận",6300000000,"Nhà hẻm, ngõ",30.0,3.0
"Phường 2, Quận 5",12000000000,Nhà mặt tiền,40.0,6.0
"Phường Bình Trị Đông A, Quận Bình Tân",1880000000,"Nhà hẻm, ngõ",35.0,2.0
"Phường Tân Kiểng, Quận 7",14900000000,Nhà mặt tiền,68.0,5.0
"Phường Sơn Kỳ, Quận Tân Phú",1550000000,"Nhà hẻm, ngõ",38.0,2.0
"Phường 4, Quận Tân Bình",1550000000,"Nhà hẻm, ngõ",35.0,3.0
"Phường 14, Quận Tân Bình",29800000000,Nhà mặt tiền,155.0,32.0
"Phường An Lạc A, Quận Bình Tân",9580000000,"Nhà hẻm, ngõ",128.0,6.0
"Phường 14, Quận Tân Bình",2300000000,"Nhà hẻm, ngõ",27.0,0.0
"Phường 2, Quận Tân Bình",5800000000,"Nhà hẻm, ngõ",60.0,5.0
"Phường Tân Quy, Quận 7",17000000000,Nhà mặt tiền,110.0,0.0
"Phường Linh Trung, TP. Thủ Đức - Quận Thủ Đức",22000000000,Nhà mặt tiền,344.0,13.0
"Phường Tam Bình, TP. Thủ Đức - Quận Thủ Đức",2700000000,Nhà mặt tiền,86.0,1.0
"Phường 8, Quận Phú Nhuận",10800000000,"Nhà hẻm, ngõ",45.0,4.0
"Phường 10, Quận Gò Vấp",2900000000,"Nhà hẻm, ngõ",48.0,4.0
"Phường 16, Quận Gò Vấp",5700000000,"Nhà hẻm, ngõ",59.0,3.0
"Phường Tân Sơn Nhì, Quận Tân Phú",1550000000,"Nhà hẻm, ngõ",52.0,3.0
"Phường Bình Trị Đông A, Quận Bình Tân",4180000000,"Nhà hẻm, ngõ",50.0,3.0
"Xã Bình Chánh, Huyện Bình Chánh",800000000,Nhà mặt tiền,90.0,3.0
"Phường Phú Thuận, Quận 7",6700000000,Nhà mặt tiền,56.0,2.0
"Phường 12, Quận 10",18500000000,Nhà mặt tiền,72.0,5.0
"Phường 1, Quận 10",34000000000,Nhà mặt tiền,98.0,21.0
"Phường Sơn Kỳ, Quận Tân Phú",39000000000,Nhà mặt tiền,640.0,2.0
"Xã Bình Chánh, Huyện Bình Chánh",800000000,Nhà mặt tiền,90.0,2.0
